name,category,Address,phone,hfpxzc href,MW4etd,UY7F9,W4Efsd 2,W4Efsd 3,W4Efsd 4,W4Efsd 5,W4Efsd 6,Phone,lcr4fd href,Cw1rxd,R8c4Qb,Cw1rxd 2,R8c4Qb 2,doJOZc,ah5Ghc,Add,FQ2IWe src,Jn12ke src,qBF1Pd,AJB7ye,AJB7ye 2,W4Efsd,W4Efsd 7,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3,A1zNzb href,J8zHNe,bbPy1,A1zNzb href 2,J8zHNe 2,bbPy1 2
"HCG Cancer Hospital - (Double Road, Bengaluru)",Cancer treatment center,"No. 44 - 45/2 2nd Cross, Double Rd, off Lalbagh Road",,"https://www.google.com/maps/place/HCG+Cancer+Hospital+-+%28Double+Road,+Bengaluru%29/data=!4m7!3m6!1s0x3bae15dbc9671c53:0x9a1464d70974ce0c!8m2!3d12.9604586!4d77.5927581!16s%2Fg%2F1pv1ct6j1!19sChIJUxxnydsVrjsRDM50CddkFJo?authuser=0&hl=en&rclk=1",4.6,"-1,372",·,·,"No. 44 - 45/2 2nd Cross, Double Rd, off Lalbagh Road",Open 24 hours,·,063588 88802,https://www.hcgoncology.com/cancer-centers/hcg-cancer-centre-double-road-bengaluru/,,Website,,Directions,,On-site services,,,,,,,,,,,,,,,,,,
Sagar Hospitals – Multispeciality Hospital Jayanagar,Hospital,"No.44/54, 30th Cross Rd",,https://www.google.com/maps/place/Sagar+Hospitals+%E2%80%93+Multispeciality+Hospital+Jayanagar/data=!4m7!3m6!1s0x3bae15aed36af035:0xe5759245267fbda3!8m2!3d12.9280141!4d77.5994766!16s%2Fg%2F12lpptklb!19sChIJNfBq064VrjsRo71_JkWSdeU?authuser=0&hl=en&rclk=1,4.4,"-5,283",·,·,"No.44/54, 30th Cross Rd",Open 24 hours,·,080 6955 5555,https://www.sagarhospitals.in/,,Website,,Directions,,On-site services,,,,,,,,,,,,,,,,,,
Bowring and Lady Curzon Hospital,General hospital,"XJM3+HWM Bowring Medical Hospital, Lady Curzon Rd",,https://www.google.com/maps/place/Bowring+and+Lady+Curzon+Hospital/data=!4m7!3m6!1s0x3bae1663b446cb89:0x2a8952c4f01fa407!8m2!3d12.9821629!4d77.6042677!16zL20vMGc1Mno2!19sChIJictGtGMWrjsRB6Qf8MRSiSo?authuser=0&hl=en&rclk=1,3.2,-579,·,·,"XJM3+HWM Bowring Medical Hospital, Lady Curzon Rd",Open 24 hours,·,084311 86388,,,Directions,,,,On-site services,,,,,,,,,,,,,,,,,,
Sagar Hospitals - Multispeciality Hospital Banashankri,Hospital,"DSI, Banashankari, Shavige Malleshwara Hills, behind DSI campus",,https://www.google.com/maps/place/Sagar+Hospitals+-+Multispeciality+Hospital+Banashankri/data=!4m7!3m6!1s0x3bae157cd3aabb31:0xd9e9f4bad8d0d688!8m2!3d12.9081233!4d77.5649846!16s%2Fg%2F1vzv23nt!19sChIJMbuq03wVrjsRiNbQ2Lr06dk?authuser=0&hl=en&rclk=1,4.4,"-3,837",·,·,"DSI, Banashankari, Shavige Malleshwara Hills, behind DSI campus",Open 24 hours,·,080 6955 5555,https://www.sagarhospitals.in/,,Website,,Directions,,On-site services,,,,,,,,,,,,,,,,,,
Chaya Super Speciality Hospital,General hospital,"6, B Channasandra Rd",,https://www.google.com/maps/place/Chaya+Super+Speciality+Hospital/data=!4m7!3m6!1s0x3bae16d4926d210d:0xfd3bdf7223e544a3!8m2!3d13.0103699!4d77.6582587!16s%2Fg%2F1thk75gn!19sChIJDSFtktQWrjsRo0TlI3LfO_0?authuser=0&hl=en&rclk=1,2.1,-354,·,·,"6, B Channasandra Rd",Open 24 hours,,,,,Directions,,,,,,,,,,,,,,,,,,,,,,
Madhu Super Speciality Hospital And Research Centre,Hospital,"54, Magadi Main Rd",,https://www.google.com/maps/place/Madhu+Super+Speciality+Hospital+And+Research+Centre/data=!4m7!3m6!1s0x3bae3d44b40dc13d:0x637bac91854c3dc9!8m2!3d12.97815!4d77.543381!16s%2Fg%2F11p0gtssj7!19sChIJPcENtEQ9rjsRyT1MhZGse2M?authuser=0&hl=en&rclk=1,4.6,-586,·,·,"54, Magadi Main Rd",Open 24 hours,·,097415 40222,,,Directions,,,,On-site services,,,,,,,,,,,,,,,,,,
Jayadev Memorial Rashtrotthana Hospital and Research Centre,General hospital,WG57+JFF,,https://www.google.com/maps/place/Jayadev+Memorial+Rashtrotthana+Hospital+and+Research+Centre/data=!4m7!3m6!1s0x3bae3fbc0262558b:0xc42f8d9bb8a681dd!8m2!3d12.9089844!4d77.5135509!16s%2Fg%2F11s620c4_k!19sChIJi1ViArw_rjsR3YGmuJuNL8Q?authuser=0&hl=en&rclk=1,4.6,"-1,471",·,·,WG57+JFF,Open 24 hours,·,080 6923 9999,https://www.rashtrotthanahospital.com/,,Website,,Directions,,On-site services,,,,,,,,,,,,,,,,,,
Mallige Hospital,Private hospital,"31/32, Crescent Rd",,https://www.google.com/maps/place/Mallige+Hospital/data=!4m7!3m6!1s0x3bae16142b8d7fff:0x28d52520c417efe3!8m2!3d12.9852672!4d77.5802778!16s%2Fg%2F11ckqrvrmh!19sChIJ_3-NKxQWrjsR4-8XxCAl1Sg?authuser=0&hl=en&rclk=1,3.9,-819,·,·,"31/32, Crescent Rd",Open 24 hours,·,080671 65555,http://www.mallige.com/,,Website,,Directions,,On-site services,,,,,,,,,,,,,,,,,,
"P D Hinduja Sindhi Hospital | Bengaluru,Karnataka",General hospital,"15/2, 12th Cross Rd",,"https://www.google.com/maps/place/P+D+Hinduja+Sindhi+Hospital+%7C+Bengaluru,Karnataka/data=!4m7!3m6!1s0x3bae15d8e319913d:0x981f7d1f898b0c96!8m2!3d12.9644866!4d77.5926378!16s%2Fg%2F1tfblrf2!19sChIJPZEZ49gVrjsRlgyLiR99H5g?authuser=0&hl=en&rclk=1",3.7,-884,·,·,"15/2, 12th Cross Rd",Open 24 hours,·,080 4903 0303,https://hindujasindhihospital.com/,,Website,,Directions,,On-site services,,,,,,,,,,,,,,,,,,
Manipal Hospital Malleshwaram OP Block,General hospital,"8th Main Road, 5/2, 13th Cross Rd",,https://www.google.com/maps/place/Manipal+Hospital+Malleshwaram+OP+Block/data=!4m7!3m6!1s0x3bae17a351df358b:0x211084b864fe5706!8m2!3d13.0035912!4d77.5655593!16s%2Fg%2F11w7kkp_9p!19sChIJizXfUaMXrjsRBlf-ZLiEECE?authuser=0&hl=en&rclk=1,4.7,"-1,798",·,·,"8th Main Road, 5/2, 13th Cross Rd",Closes soon,·,1800 102 4647,https://www.manipalhospitals.com/malleshwaram/?utm_source=Organic&utm_medium=GMB+Organic&utm_campaign=Malleshwaram+Northside+Hospital+GMB,,Website,,Directions,,On-site services,,,,,,,,,,,,,,,,,,
"New Life Speciality Hospital | Laparoscopic General Surgeon, Orthopaedic, Neurosurgeon, Gynaecologist | Byrathi, Bengaluru",Hospital,"No.33, New International Airport Road, Hennur Bagalur Main Rd",,"https://www.google.com/maps/place/New+Life+Speciality+Hospital+%7C+Laparoscopic+General+Surgeon,+Orthopaedic,+Neurosurgeon,+Gynaecologist+%7C+Byrathi,+Bengaluru/data=!4m7!3m6!1s0x3bae1bd060c59ec5:0xc49ccd13f67a0f9c!8m2!3d13.0779944!4d77.653645!16s%2Fg%2F11vl9wzbpv!19sChIJxZ7FYNAbrjsRnA969hPNnMQ?authuser=0&hl=en&rclk=1",4.5,-80,·,·,"No.33, New International Airport Road, Hennur Bagalur Main Rd",Open 24 hours,·,095358 58080,https://newlifehospitalhennur.com/,,Website,,Directions,,On-site services,,,,,,,,,,,,,,,,,,
K.C. General Hospital,General hospital,"Ground, Malleswaram Circle, Police Station Rd",,https://www.google.com/maps/place/K.C.+General+Hospital/data=!4m7!3m6!1s0x3bae1624498c8b85:0xd95533c6e2c6bddb!8m2!3d12.9961428!4d77.569358!16s%2Fg%2F1tlbmlhh!19sChIJhYuMSSQWrjsR273G4sYzVdk?authuser=0&hl=en&rclk=1,3.2,-854,·,·,"Ground, Malleswaram Circle, Police Station Rd",Open 24 hours,·,080 2334 1771,,,Directions,,,,On-site services,,,,,,,,,,,,,,,,,,
Athreya Hospital,General hospital,"6/2, 6/2B, Anekal Main road, Chandapura, Anekal Main Road",,https://www.google.com/maps/place/Athreya+Hospital/data=!4m7!3m6!1s0x3bae6dd65f435d73:0x507a714c9af971b5!8m2!3d12.7945268!4d77.706786!16s%2Fg%2F124yh5gg1!19sChIJc11DX9ZtrjsRtXH5mkxxelA?authuser=0&hl=en&rclk=1,4.3,"-2,138",·,·,"6/2, 6/2B, Anekal Main road, Chandapura, Anekal Main Road",Open 24 hours,·,093792 62265,https://athreyahospital.com/,,Website,,Directions,,On-site services,,,,,,,,,,,,,,,,,,
"Aveksha Hospitals, MS Palya",General hospital,"Varadarajaswamy Layout, 122, M.S. Palya Rd",,"https://www.google.com/maps/place/Aveksha+Hospitals,+MS+Palya/data=!4m7!3m6!1s0x3bae2294ec5d2ce5:0xec449c0bbed3eb67!8m2!3d13.0818183!4d77.5409144!16s%2Fg%2F12qfjhdg5!19sChIJ5Sxd7JQirjsRZ-vTvgucROw?authuser=0&hl=en&rclk=1",4.7,"-6,778",·,·,"Varadarajaswamy Layout, 122, M.S. Palya Rd",Open 24 hours,·,080 4727 7770,https://avekshahospital.com/,,Website,,Directions,,On-site services,,,,,,,,,,,,,,,,,,
Apollo Hospitals - Sarjapur Road | Best Hospital in Bengaluru,General hospital,"Opposite Decathlon, Sarjapur Road, Hobli",,https://www.google.com/maps/place/Apollo+Hospitals+-+Sarjapur+Road+%7C+Best+Hospital+in+Bengaluru/data=!4m7!3m6!1s0x3bae13a4a903d97d:0xc6bb5ef5f934ac4a!8m2!3d12.9012497!4d77.7087785!16s%2Fg%2F11qb8bnzqc!19sChIJfdkDqaQTrjsRSqw0-fVeu8Y?authuser=0&hl=en&rclk=1,4.6,"-3,871",·,"Opposite Decathlon, Sarjapur Road, Hobli",,,,080 6936 6936,https://www.apollohospitals.com/hospitals/sarjapur-road-bangalore,,Website,,Directions,,On-site services,,,,,,,,,,,,,,,,,,
Springleaf Hospital,General hospital,"60/3, Hosur Rd, next to Union Bank",,https://www.google.com/maps/place/Springleaf+Hospital/data=!4m7!3m6!1s0x3bae6c840116aa25:0xa7aa6c6bf720d921!8m2!3d12.8525896!4d77.6675444!16s%2Fg%2F1tgz8t6k!19sChIJJaoWAYRsrjsRIdkg92tsqqc?authuser=0&hl=en&rclk=1,4.2,"-1,773",·,·,"60/3, Hosur Rd, next to Union Bank",Open 24 hours,·,074111 22444,https://www.springleaf-healthcare.com/,,Website,,Directions,,"""The hospital is well-maintained and clean.""",,,,,,,,,,,,,,,,,,
Mediscope Hospital,General hospital,"Mediscope Nursing Home, 11, 1st Cross Rd",,https://www.google.com/maps/place/Mediscope+Hospital/data=!4m7!3m6!1s0x3bae16fda9ede8e3:0x1befaa9bf77a3548!8m2!3d13.0111753!4d77.6162312!16s%2Fg%2F1tgwqq49!19sChIJ4-jtqf0WrjsRSDV695uq7xs?authuser=0&hl=en&rclk=1,4.3,-710,·,·,"Mediscope Nursing Home, 11, 1st Cross Rd",Open 24 hours,·,080 2547 2757,,,Directions,,,,On-site services,,,,,,,,,,,,,,,,,,
Rangadore Memorial Hospital,General hospital,1st Cross Rd,,https://www.google.com/maps/place/Rangadore+Memorial+Hospital/data=!4m7!3m6!1s0x3bae1592c0000001:0x92435e0cc1f579e1!8m2!3d12.9535139!4d77.5710434!16s%2Fg%2F1tdxnwwy!19sChIJAQAAwJIVrjsR4Xn1wQxeQ5I?authuser=0&hl=en&rclk=1,3.8,"-1,447",·,·,1st Cross Rd,Open 24 hours,·,080 2698 3300,https://rangadorememorialhospital.com/,,Website,,Directions,,On-site services,,,,,,,,,,,,,,,,,,
Sri Vinayaka Hospital,General hospital,"Vijayanagar, 1222, 80 Feet Rd, near Ganesha Temple",,https://www.google.com/maps/place/Sri+Vinayaka+Hospital/data=!4m7!3m6!1s0x3bae3e70a7992d51:0xfe6221ef3a8eef32!8m2!3d12.9575163!4d77.5276716!16s%2Fg%2F1tmptf7j!19sChIJUS2Zp3A-rjsRMu-OOu8hYv4?authuser=0&hl=en&rclk=1,4.4,-254,·,·,"Vijayanagar, 1222, 80 Feet Rd, near Ganesha Temple",Open 24 hours,·,080 2339 8062,,,Directions,,,,"""The hospital is well-maintained with great cleanliness and hygiene.""",,,,,,,,,,,,,,,,,,
Sapthagiri Hospital,General hospital,"15, Hesarghatta Rd",,https://www.google.com/maps/place/Sapthagiri+Hospital/data=!4m7!3m6!1s0x3bae2324ca579629:0xa6f9716812cb8b11!8m2!3d13.0706389!4d77.5024795!16s%2Fg%2F1thk_90p!19sChIJKZZXyiQjrjsREYvLEmhx-aY?authuser=0&hl=en&rclk=1,3.3,"-1,410",·,·,"15, Hesarghatta Rd",Open 24 hours,·,080 2839 3393,,,Directions,,,,On-site services,,,,,,,,,,,,,,,,,,
Jayadeva Hospital Bengaluru,Heart hospital,"B T M I stage, B-8, Marenahalli Rd",,https://www.google.com/maps/place/Jayadeva+Hospital+Bengaluru/data=!4m7!3m6!1s0x3bae16773e7dc413:0x350240386002607b!8m2!3d12.9178903!4d77.5992075!16s%2Fm%2F02q96m6!19sChIJE8R9PncWrjsRe2ACYDhAAjU?authuser=0&hl=en&rclk=1,3.9,"-1,732",·,·,"B T M I stage, B-8, Marenahalli Rd",Open 24 hours,·,080 2297 7400,http://www.jayadevacardiology.com/,,Website,,Directions,,On-site services,,,,,,,,,,,,,,,,,,
Sri Sairam Hospital - BTM Layout,General hospital,"33, Bannerghatta Main Rd",,https://www.google.com/maps/place/Sri+Sairam+Hospital+-+BTM+Layout/data=!4m7!3m6!1s0x3bae15045b5a68fb:0x651d3761721d9a6f!8m2!3d12.914413!4d77.6002987!16s%2Fg%2F1td9tk5l!19sChIJ-2haWwQVrjsRb5odcmE3HWU?authuser=0&hl=en&rclk=1,4.2,-637,·,·,"33, Bannerghatta Main Rd",Open 24 hours,·,079751 42707,https://srisairamhospitals.com/,,Website,,Directions,,"""Excellent staff , well maintained hygiene hospital.""",,,,,,,,,,,,,,,,,,
Bangalore Orthopaedic And Surgical Hospital,General hospital,"2J9R+X68, 426, CMR Main Rd, 3rd Cross Rd",,https://www.google.com/maps/place/Bangalore+Orthopaedic+And+Surgical+Hospital/data=!4m7!3m6!1s0x3bae1725b34e1d65:0x7807714d1478bc61!8m2!3d13.0219049!4d77.6385891!16s%2Fg%2F11g69h8h25!19sChIJZR1OsyUXrjsRYbx4FE1xB3g?authuser=0&hl=en&rclk=1,4.5,-611,·,·,"2J9R+X68, 426, CMR Main Rd, 3rd Cross Rd",Open 24 hours,·,080 4633 3444,http://www.boshospitals.com/,,Website,,Directions,,On-site services,,,,,,,,,,,,,,,,,,
DG Hospital,General hospital,"274/275, Puttalingiah Rd",,https://www.google.com/maps/place/DG+Hospital/data=!4m7!3m6!1s0x3bae3fd5075e67cb:0xebcdded754735fc!8m2!3d12.9206598!4d77.5598165!16s%2Fg%2F1td1sx0z!19sChIJy2deB9U_rjsR_DVHde3dvA4?authuser=0&hl=en&rclk=1,4.1,-327,·,·,"274/275, Puttalingiah Rd",Open 24 hours,,,,,Directions,,,,"""Nursing care very professional and all nurses are very friendly.""",,,,,,,,,,,,,,,,,,
RR multispeciality hospital,Hospital,"Magadi main road 11/1 old no 40, b block, KHB Colony",,https://www.google.com/maps/place/RR+multispeciality+hospital/data=!4m7!3m6!1s0x3bae3d34ac611d25:0x3080ca616110071a!8m2!3d12.9802535!4d77.5371517!16s%2Fg%2F11qzph12t7!19sChIJJR1hrDQ9rjsRGgcQYWHKgDA?authuser=0&hl=en&rclk=1,4.3,-186,·,·,"Magadi main road 11/1 old no 40, b block, KHB Colony",Open 24 hours,·,095385 38777,,,Directions,,,,"""Matured Doctors, Nice hospitality ..""",,,,,,,,,,,,,,,,,,
Mamatha Hospital,General hospital,"No. 1539, 39th Cross Rd",,https://www.google.com/maps/place/Mamatha+Hospital/data=!4m7!3m6!1s0x3bae15a400000001:0x5d530017e7b8ec71!8m2!3d12.920466!4d77.592335!16s%2Fg%2F1tdpdmt2!19sChIJAQAAAKQVrjsRcey45xcAU10?authuser=0&hl=en&rclk=1,3.0,-115,·,·,"No. 1539, 39th Cross Rd",Open,·,080 2244 1211,,,Directions,,,,"""Awesome services n friendly staff n emphatic doctors""",,,,,,,,,,,,,,,,,,
"Apollo Cradle & Children's Hospital in Jayanagar, Bengaluru",Maternity Centre,WH8P+Q39,,"https://www.google.com/maps/place/Apollo+Cradle+%26+Children%27s+Hospital+in+Jayanagar,+Bengaluru/data=!4m7!3m6!1s0x3bae1574a3cac983:0xea523493e02e8cad!8m2!3d12.9169375!4d77.5851875!16s%2Fg%2F1hhkj2dt1!19sChIJg8nKo3QVrjsRrYwu4JM0Uuo?authuser=0&hl=en&rclk=1",4.7,"-6,672",·,·,WH8P+Q39,Open 24 hours,·,098216 56657,https://www.apollocradle.com/bengaluru/jayanagar/our-hospitals/maternity-hospital-in-jayanagar,,Website,,Directions,,On-site services,,,,,,,,,,,,,,,,,,
Chaitanya Hospital (NABH Accredited),Hospital,"2nd block, 116, 3rd Cross Rd",,https://www.google.com/maps/place/Chaitanya+Hospital+%28NABH+Accredited%29/data=!4m7!3m6!1s0x3bae17ba9c73e661:0x3bf67bebb7a89b52!8m2!3d13.0240936!4d77.5943159!16s%2Fg%2F1tdz380h!19sChIJYeZznLoXrjsRUpuot-t79js?authuser=0&hl=en&rclk=1,3.5,-279,·,·,"2nd block, 116, 3rd Cross Rd",Open 24 hours,·,098440 32989,,,Directions,,,,"""The treatment and surgery went well and the staff was supportive.""",,,,,,,,,,,,,,,,,,
BMS Hospital,General hospital,"Sri Mallikarjuna Swamy, No 618, Sri Mallikarjuna Sw, 618, Mallikarjuna Temple St",,https://www.google.com/maps/place/BMS+Hospital/data=!4m7!3m6!1s0x3bae158b5de77713:0x5b3a6891156b90ae!8m2!3d12.9412763!4d77.5675884!16s%2Fg%2F1tgllbjp!19sChIJE3fnXYsVrjsRrpBrFZFoOls?authuser=0&hl=en&rclk=1,4.2,-530,·,·,"Sri Mallikarjuna Swamy, No 618, Sri Mallikarjuna Sw, 618, Mallikarjuna Temple St",Open 24 hours,,,https://bmshospital.com/,,Website,,Directions,,On-site services,,,,,,,,,,,,,,,,,,
Shirdi Sai Hospital,General hospital,"519, 2nd Main, Nethravathi Street, New BEL Rd, opp. SLK Software",,https://www.google.com/maps/place/Shirdi+Sai+Hospital/data=!4m7!3m6!1s0x3bae17e10becab93:0xd82ee96990d79a81!8m2!3d13.037254!4d77.564932!16s%2Fg%2F1tdwt3bm!19sChIJk6vsC-EXrjsRgZrXkGnpLtg?authuser=0&hl=en&rclk=1,4.0,-471,·,·,"519, 2nd Main, Nethravathi Street, New BEL Rd, opp. SLK Software",Open 24 hours,·,080 4271 9999,https://shirdisaihospitalpvtltd.com/,,Website,,Directions,,On-site services,,,,,,,,,,,,,,,,,,
Navachethana Hospital,General hospital,"17/A2, 3rd B Cross Road, Opposite RWF Rail Wheel Factory GM Admin Office",,https://www.google.com/maps/place/Navachethana+Hospital/data=!4m7!3m6!1s0x3bae1887c0a00cc7:0xb924fa6d976ce5d8!8m2!3d13.1037608!4d77.5837306!16s%2Fg%2F11b5yvd3sr!19sChIJxwygwIcYrjsR2OVsl236JLk?authuser=0&hl=en&rclk=1,4.1,"-1,833",·,·,"17/A2, 3rd B Cross Road, Opposite RWF Rail Wheel Factory GM Admin Office",Open 24 hours,·,098809 25495,http://www.navachethanahospital.com/,,Website,,Directions,,On-site services,,,,,,,,,,,,,,,,,,
Chaitanya Hospital (NABH Accredited),Hospital,"2nd block, 116, 3rd Cross Rd",,https://www.google.com/maps/place/Chaitanya+Hospital+%28NABH+Accredited%29/data=!4m7!3m6!1s0x3bae17ba9c73e661:0x3bf67bebb7a89b52!8m2!3d13.0240936!4d77.5943159!16s%2Fg%2F1tdz380h!19sChIJYeZznLoXrjsRUpuot-t79js?authuser=0&hl=en&rclk=1,3.5,-279,·,·,"2nd block, 116, 3rd Cross Rd",Open 24 hours,·,098440 32989,https://bmshospital.com/,,Directions,,Website,,"""The treatment and surgery went well and the staff was supportive.""",,,,,,,,,,,,,,,,,,
Navachethana Hospital,General hospital,"17/A2, 3rd B Cross Road, Opposite RWF Rail Wheel Factory GM Admin Office",,https://www.google.com/maps/place/Navachethana+Hospital/data=!4m7!3m6!1s0x3bae1887c0a00cc7:0xb924fa6d976ce5d8!8m2!3d13.1037608!4d77.5837306!16s%2Fg%2F11b5yvd3sr!19sChIJxwygwIcYrjsR2OVsl236JLk?authuser=0&hl=en&rclk=1,4.1,"-1,833",·,·,"17/A2, 3rd B Cross Road, Opposite RWF Rail Wheel Factory GM Admin Office",Open 24 hours,·,098809 25495,https://www.google.com/aclk?sa=L&ai=DChsSEwjB7fq6-r2UAxV8vKYDHeLHIoAYACICCAEQBRoCdGI&co=1&ase=2&gclid=CjwKCAjwq6DQBhBVEiwA4ZD5XBz3HevKcuj8UEpnV1leSJU--XdMAlJlKfpEKYUs3mqBBk2c1TDvGxoC2pcQAvD_BwE&cid=CAAS0wHkaInfGXbPFKTwepGkLlNZWFVuBX5-ONCBu5yPw45_R18crFP9ZSATGZOYJ42d68M1wfyFCBGpPThm6V7ft78wA7foYigGpsspE1HJwmnfdV0VMIeSfbBpHGPNI7IJ07JS45tcdXnU2iMqc1Qg7T9GcP5hTa7jUPr1zJTmaG061DlDy6yxAw-qL_CicYK0oq6zGGA3BpWFBYhtS2ii4hEiuIvKFU0JzHnKso_gdYm9x1qwG1vZjkc0XJAQYsbYgOBUzugc8802_pFCe83_lqG4sUNp&cce=2&category=acrcp_v1_32&sig=AOD64_0kHv3zZtKOjA_VGImtqfZ02u4uVg&adurl&q&ctype=99&nis=6,,Website,,Directions,,On-site services,,,,,,,,,,,,,,,,,,
Eskay Healthcare,General hospital,"274, 3rd Cross St",,https://www.google.com/maps/place/Eskay+Healthcare/data=!4m7!3m6!1s0x3bae22d644938a9d:0x232247f1217eb7f3!8m2!3d13.0614634!4d77.5180124!16s%2Fg%2F1tftjnfs!19sChIJnYqTRNYirjsR87d-IfFHIiM?authuser=0&hl=en&rclk=1,4.3,-980,·,·,"274, 3rd Cross St",Open 24 hours,·,099866 64560,http://www.eskayhospital.com/,,Website,,Directions,,On-site services,,,,,,,,,,,,,,,,,,
Gayathri Hospital Pvt Ltd,General hospital,"Magadi, 91, Chord Rd",,https://www.google.com/maps/place/Gayathri+Hospital+Pvt+Ltd/data=!4m7!3m6!1s0x3bae3de64253bf39:0xdffe0cb91ae6f4e2!8m2!3d12.9743735!4d77.5426768!16s%2Fg%2F1tg7qgct!19sChIJOb9TQuY9rjsR4vTmGrkM_t8?authuser=0&hl=en&rclk=1,4.2,-588,·,·,"Magadi, 91, Chord Rd",Open 24 hours,·,080 2335 2085,https://gayathrihospital.co.in/,,Website,,Directions,,"""The hospital is very well maintained and hygienic for all purposes.""",,,,,,,,,,,,,,,,,,
Vinayaka Hospital,General hospital,"State Bank Of Mysore Colony, 110, 80 Feet Rd",,https://www.google.com/maps/place/Vinayaka+Hospital/data=!4m7!3m6!1s0x3bae3e232e564693:0x256c930a623ae0c1!8m2!3d12.9375195!4d77.5494996!16s%2Fg%2F1tj1qj87!19sChIJk0ZWLiM-rjsRweA6YgqTbCU?authuser=0&hl=en&rclk=1,4.3,"-1,024",·,·,"State Bank Of Mysore Colony, 110, 80 Feet Rd",Open 24 hours,·,080 2679 4148,,,Directions,,,,On-site services,,,,,,,,,,,,,,,,,,
The Venlakh Hospital,General hospital,"#123, 5th Main Rd",,https://www.google.com/maps/place/The+Venlakh+Hospital/data=!4m7!3m6!1s0x3bae15f8f884ae3f:0x6d2cf03bd708ee7b!8m2!3d12.957193!4d77.5643203!16s%2Fg%2F1v3hyf2l!19sChIJP66E-PgVrjsRe-4I1zvwLG0?authuser=0&hl=en&rclk=1,3.8,-94,·,·,"#123, 5th Main Rd",Open 24 hours,·,086182 59484,https://thevenlakhhospital.com/,,Website,,Directions,,"""The hospital has an excellent team of doctors, surgeons and support staff.""",,,,,,,,,,,,,,,,,,
Raksha Multi Speciality Hospital,General hospital,"141, 142, 1st Cross Rd",,https://www.google.com/maps/place/Raksha+Multi+Speciality+Hospital/data=!4m7!3m6!1s0x3bae3d72f63af877:0xe6524a8ed612c62f!8m2!3d13.0199385!4d77.5411619!16s%2Fg%2F1tf63y45!19sChIJd_g69nI9rjsRL8YS1o5KUuY?authuser=0&hl=en&rclk=1,4.0,-201,·,·,"141, 142, 1st Cross Rd",Open 24 hours,·,080 2347 1005,,,Directions,,,,"""Doctors are humble and efficient, staff nurse very efficient.""",,,,,,,,,,,,,,,,,,
Sri Krishna Sevashrama Hospital,General hospital,"45th, Cross, 523, 10th Main Rd",,https://www.google.com/maps/place/Sri+Krishna+Sevashrama+Hospital/data=!4m7!3m6!1s0x3bae15a1e101a141:0xcb02b06a2fbeff64!8m2!3d12.9173442!4d77.5851088!16s%2Fg%2F1tdz37y7!19sChIJQaEB4aEVrjsRZP--L2qwAss?authuser=0&hl=en&rclk=1,3.7,-603,·,·,"45th, Cross, 523, 10th Main Rd",Open 24 hours,·,080 4534 0000,https://www.srikrishnasevashrama.com/,,Website,,Directions,,On-site services,,,,,,,,,,,,,,,,,,
Apple Hospital,General hospital,SH 9,,https://www.google.com/maps/place/Apple+Hospital/data=!4m7!3m6!1s0x3bae188ac0cfd20d:0x1e9447cf0e60d20e!8m2!3d13.1038799!4d77.5837694!16s%2Fg%2F11g63kbmdd!19sChIJDdLPwIoYrjsRDtJgDs9HlB4?authuser=0&hl=en&rclk=1,3.9,-352,·,·,SH 9,Open 24 hours,·,077603 50111,,,Directions,,,,On-site services,,,,,,,,,,,,,,,,,,
PRASHANTH MULTISPECIALITY HOSPITAL,General hospital,"90/D, Hosur Rd",,https://www.google.com/maps/place/PRASHANTH+MULTISPECIALITY+HOSPITAL/data=!4m7!3m6!1s0x3bae14ec823d7ce9:0xa4a7c82f41f9ba6!8m2!3d12.9065634!4d77.6287203!16s%2Fg%2F1tdnjkd_!19sChIJ6Xw9guwUrjsRppsf9IJ8Sgo?authuser=0&hl=en&rclk=1,3.8,-893,·,·,"90/D, Hosur Rd",Open 24 hours,·,080 4150 3714,http://www.prashanthhospital.co.in/,,Website,,Directions,,On-site services,,,,,,,,,,,,,,,,,,
GVG Invivo Hospital,General hospital,"647, 5th Main Rd",,https://www.google.com/maps/place/GVG+Invivo+Hospital/data=!4m7!3m6!1s0x3bae1546a398edaf:0x797ddcdfb77bf4b7!8m2!3d12.8918617!4d77.5797354!16s%2Fg%2F1v6wmrqn!19sChIJr-2Yo0YVrjsRt_R7t9_cfXk?authuser=0&hl=en&rclk=1,4.7,-644,·,·,"647, 5th Main Rd",Open 24 hours,·,081236 00600,https://invivohospitals.com/,,Website,,Directions,,On-site services,,,,,,,,,,,,,,,,,,
Divakars Speciality Hospital - women’s healthcare before during and beyond pregnancy,Pregnancy care center,"220, 9th Cross Rd, next to Nilgiris",,https://www.google.com/maps/place/Divakars+Speciality+Hospital+-+women%E2%80%99s+healthcare+before+during+and+beyond+pregnancy/data=!4m7!3m6!1s0x3bae150c55555555:0xd8143878dca18b3b!8m2!3d12.9100276!4d77.5924611!16s%2Fg%2F1tcvs8w1!19sChIJVVVVVQwVrjsRO4uh3Hg4FNg?authuser=0&hl=en&rclk=1,4.7,"-1,275",·,·,"220, 9th Cross Rd, next to Nilgiris",Open 24 hours,·,080 4085 3500,http://www.divakarshospital.com/,,Website,,Directions,,On-site services,,,,,,,,,,,,,,,,,,
