name,category,Address
Forma Fitness Club,Gym,"Hinjawadi Road, Survey No. 10/4"
"M.K fitness club, punawale",Fitness center,"Near Mumbai-pune Highway, Jambe Rd, near lotus business school"
UNIVERSAL FITNESS CLUB,Gym,"Kokane Chowk, above Shakti Sports"
ABS Fitness Club | CAMP,Gym,"Atur Foundation House, 4, Dr Baba Saheb Ambedkar Rd, Above Jawaharlal Nehru Memorial Hall"
.R.Fit N Fine CrossFit Gym,Gym,"JQHC+XRG, Abasaheb Chinchwade Industrial Estate, Walhekar Wadi Rd"
Gold's Gym Hinjawadi ( Bhumkar Chowk ),Gym,"4th Floor, Times Square, Opposite Bharat Petrol Pump, Hinjawadi Phase 1 Rd, near Vitthal Mandir"
MultiFit - Gym in Baner,Gym,"MultiFit, Pancard Club Rd, beside REELICON ALPINE RIDGE, near We Work"
Royal fitness gym,Gym,"Maha ganga colony Maha ganga colony, 111/14/1, Main road, kalewadi, bridge"
NITRRO GYM,Fitness center,Sai Millenium Mall
NEW HARDCORE GYM,Gym,"2 floor, Kamble Plaza opp. Hanuman and Shani Mandir, Jagtap Nagar.6, Thergaon main road"
Golden Fitness Club,Fitness center,"1st Floor, N.B.Arcade, Akurdi, 49/5, Shitla Devi Chowk, near PCMC Hospital"
RD FITNESS GYM (BRANCH-1),Gymnastics center,"Gandharva Nagari Block-G1, GANDHARVA NAGARI, G-1"
"Cult Gym Phase 1, Hinjewadi | Best Gym in Hinjewadi, Pune",Gym,"24, Maan Rd"
Golds Gym Ravet,Gym,"One Mall, S.No. 22/2, 3rd floor, Nirman Properties, Aundh - Ravet BRTS Rd"
Shree Ram Gym,Fitness center,"Sr.No.170/711 2nd Floor, Trimurti Complex, Chikhali Akurdi Rd, near PCMC Hospital"
"C5 Training Space - Xion Mall, Hinjewadi",Gym,"4th floor, Xion Mall, C5 Training Space"
VJS Fitness Club & Swimming Pool,Gym,"Sr no 49, Shivkrupa Dairy Farm, near F Residences"
Sanatoriym Gym pradhikarn 411044,Gym,0
Orca Fitness Gym Udhyamnagar,Gym,"Ajmera Main Rd, near Annasaheb Magar Stadium"
Atenx Performance Studio | Best Fitness Gym in Kothrud Pune,Gym,"Industrial Estate, 10, near Oblique Kitchen"
Brahma Fitness - Available on Cult.fit | Gym in FC Road,Gym,"925, B4, Deendayal Hospital Lane, Tukaram Paduka Chowk, Fergusson college campus Rd"
Trident Fitness Deccan,Gym,"2nd Floor, Opposite Hotel Central Park, Apte Rd, near HDFC Bank"
Fitranger Athfit Studio,Fitness center,Plot No 08
GT Fitness Club,Fitness center,"1st Floor, GRGV+MCC Gurukrupa Complex, Modern Engineering College Rd, off Fergusson College Road"
Gold's Gym,Fitness center,"127/1A, Server Space, A.G.Technology Park, Sarjaa Rd, Sanewadi, Aundh"
ZE Fitness (Gym),Gym,"MRHQ+24J Gandharva Excellence, phase-2 Road, opposite of 11k county society"
Evolution Fitness,Gym,"Evolution gym, 1st floor, RK One building, near shantai hotel, rasta peth, above Saroj Fabric"
Gold's Gym,Fitness center,"127/1A, Server Space, A.G.Technology Park, Sarjaa Rd, Sanewadi, Aundh"
ZE Fitness (Gym),Gym,"MRHQ+24J Gandharva Excellence, phase-2 Road, opposite of 11k county society"
Evolution Fitness,Gym,"Evolution gym, 1st floor, RK One building, near shantai hotel, rasta peth, above Saroj Fabric"
Fitranger Gym,Gym,"Haribhau Sane Krida Sankul, 17/1B, Late GA Kulkarni Path, near Joshi Museum Of Miniature Railways"
Goldâ€™s Gym Moshi Pune,Fitness center,goldfield mall
"Urbounce Gym Baner Pashan | Premium Fitness Gym with Zumba, Yoga, Sauna & Personal Training",Gym,"3rd Floor, HQ2R+5F7, Baner - Pashan Link Rd, near HDFC Bank"
P9 Fitness & Gym,Fitness center,GVF5+G86 Suma Paradise
Universal Gym | Best Gym In Camp Pune,Gym,"Universal Gym & Fitness Club, opp. Chandan Medicals"
THE IRON GYM,Gym,"S. No. 50/11, Kanaskar Bldg Mahadeonagar, Old Mundhwa Rd, near Bollywood Cinema"
Deltoid Fitness,Gym,"1st floor, Sinhgad Rd, behind Navkar Sweets, opposite Datta Krushnai Mangal Karyalaya"
Gold's Gym Baner,Gym,"Imperial Atria, ABIL House, 4th Floor, ABIL Square, Near, Pancard Club Rd"
Body Fuel Fitness Club,Gym,"59, Vishwashanti Marg, near Shiv Chaitanya Hall"
fitness Island GYM,Gym,"33, Gurudwara Rd"
H2O FITNESS CLUB,Gym,"1158, near Lane Number 2"
Anytime Fitness,Fitness center,"4th floor, 10 Biz Park, beside Symbiosis Law School Road"
Raise The Bar Fitness Center,Gym,"2nd Floor, Parmar Gallery, Jagtap Chowk, above Axis Bank"
i Train Fitness Gym,Gym,"Parmar Plaza, next to Inamdar Hospital, opposite Cycle World"
Hayat Fitness Gym,Gym,"1st floor, Riza corner, Chetna garden, 50/65, Lane Number 9"
Gold's Gym Baner,Gym,"Imperial Atria, ABIL House, 4th Floor, ABIL Square, Near, Pancard Club Rd"
Body Fuel Fitness Club,Gym,"59, Vishwashanti Marg, near Shiv Chaitanya Hall"
fitness Island GYM,Gym,"33, Gurudwara Rd"
